condition,age,memory,subj
ctrl,12.05749487,0.345689655,170
ctrl,16.68,0.259348739,171
ctrl,12.71,0.321218487,172
ctrl,13.33059548,0.404166667,173
ctrl,9.352498289,0.309322034,174
ctrl,15.84941821,0.324568966,175
ctrl,8.353182752,0.123076923,176
ctrl,7.969883641,0.045744681,177
ctrl,15.9835729,0.429166667,178
ctrl,13.60711841,0.225423729,179
ctrl,11.58110883,0.369337607,180
ctrl,12.58333333,0.2375,181
ctrl,16.25,0.103991597,182
ctrl,14.41666667,0.595338983,183
ctrl,11.75,0.301315789,184
ctrl,13,0.371260684,185
ctrl,17.24298426,0.203151261,186
ctrl,24.7,0.901041667,187
ctrl,18.6,0.864583333,188
ctrl,19.8,0.984375,189
ctrl,20.7,0.713541667,190
ctrl,20.3,0.989583333,191
ctrl,22.6,0.916666667,192
ctrl,20.2,0.703125,193
ctrl,19.9,0.838541667,194
ctrl,29.7,0.927083333,195
ctrl,19.6,0.828125,196
ctrl,20.4,0.75,197
ctrl,20.8,0.880208333,198
ctrl,19.4,0.932291667,199
ctrl,19.7,0.890625,200
ctrl,18.6,0.869791667,201
ctrl,20.4,0.609375,202
ctrl,33.4,0.619791667,203
ctrl,28.7,0.96875,204
ctrl,38.9,0.9375,205
ctrl,21.5,0.984375,206
ctrl,21.8,0.786458333,207
ctrl,28.6,0.734375,208
ctrl,18.6,0.979166667,209
ctrl,20.5,0.71875,210
ctrl,34.8,0.932291667,211
ctrl,20.5,0.770833333,212
ctrl,26.6,0.911458333,213
ctrl,33,0.90625,214
ctrl,20.6,0.9375,215
ctrl,21.1,0.869791667,216
ctrl,31.8,0.90625,217
ctrl,43,0.890625,218
ctrl,30.8,0.90625,219
ctrl,36,0.895833333,220
ctrl,38.4,0.432291667,221
